,varname1,varval1,lift,cumlift,booster
0,CHEBI:100147,0,1.0027825500300551,1.0027825500300551,x1.0
1,CHEBI:100147,1,0.6258411673871785,0.6258411673871785,/1.6
2,CHEBI:100241,0,1.0026712671823697,1.0026712671823697,x1.0
3,CHEBI:100246,0,1.0044600546356692,1.0044600546356692,x1.0
4,CHEBI:10057,0,1.000277592715967,1.000277592715967,x1.0
5,CHEBI:102130,0,1.0002220618442237,1.0002220618442237,x1.0
6,CHEBI:102484,0,1.0003331297540392,1.0003331297540392,x1.0
7,CHEBI:115156,0,0.9996909803685691,0.9996909803685691,/1.0
8,CHEBI:116278,0,1.0000555062166963,1.0000555062166963,x1.0
9,CHEBI:124991,0,1.0039563133845983,1.0039563133845983,x1.0
10,CHEBI:125610,0,0.9992709421415236,0.9992709421415236,/1.0
11,CHEBI:12931,0,1.0002220618442237,1.0002220618442237,x1.0
12,CHEBI:12936,0,1.0169655677227878,1.0169655677227878,x1.0
13,CHEBI:12936,1,0.7112969340613188,0.7112969340613188,/1.4
14,CHEBI:132111,0,1.0001665371377817,1.0001665371377817,x1.0
15,CHEBI:132112,0,1.0001110185956148,1.0001110185956148,x1.0
16,CHEBI:132943,0,1.005854260258501,1.005854260258501,x1.0
17,CHEBI:132950,0,1.0004997778764992,1.0004997778764992,x1.0
18,CHEBI:133748,0,1.0001665371377817,1.0001665371377817,x1.0
19,CHEBI:13389,0,1.0000555062166963,1.0000555062166963,x1.0
20,CHEBI:134606,0,0.9992709421415236,0.9992709421415236,/1.0
21,CHEBI:135854,0,0.9996354913043836,0.9996354913043836,/1.0
22,CHEBI:135874,0,0.9996354913043836,0.9996354913043836,/1.0
23,CHEBI:13705,0,0.9999235015299693,0.9999235015299693,/1.0
24,CHEBI:13705,1,1.0141325008551376,1.0141325008551376,x1.0
25,CHEBI:140148,0,0.9996354913043836,0.9996354913043836,/1.0
26,CHEBI:141991,0,0.9992709421415236,0.9992709421415236,/1.0
27,CHEBI:143136,0,1.002950345134714,1.002950345134714,x1.0
28,CHEBI:14314,0,1.003861812210992,1.003861812210992,x1.0
29,CHEBI:14321,0,1.0001665371377817,1.0001665371377817,x1.0
30,CHEBI:14336,0,1.0012471791482611,1.0012471791482611,x1.0
31,CHEBI:145778,0,1.0001110185956148,1.0001110185956148,x1.0
32,CHEBI:15075,0,1.0003331297540392,1.0003331297540392,x1.0
33,CHEBI:15138,0,1.0014142021430033,1.0014142021430033,x1.0
34,CHEBI:15226,0,1.0018349644128113,1.0018349644128113,x1.0
35,CHEBI:15318,0,1.0000648045777543,1.0000648045777543,x1.0
36,CHEBI:15347,0,1.000444222333278,1.000444222333278,x1.0
37,CHEBI:15353,0,0.9992709421415236,0.9992709421415236,/1.0
38,CHEBI:15354,0,1.0002220618442237,1.0002220618442237,x1.0
39,CHEBI:15356,0,0.9994849991864355,0.9994849991864355,/1.0
40,CHEBI:15361,0,1.0385018175362597,1.0385018175362597,x1.0
41,CHEBI:15361,1,0.3262972522890404,0.3262972522890404,/3.1
42,CHEBI:15369,0,0.9985417223871145,0.9985417223871145,/1.0
