,varname1,varval1,lift,cumlift,booster
1362,assay:API_LIST_MDG,0,1.0011669259835518,1.0011669259835518,x1.0
1363,assay:API_LIST_RHA,0,1.0009444444444444,1.0009444444444444,x1.0
1364,assay:API_LIST_RIB,0,1.0005553395901594,1.0005553395901594,x1.0
1365,assay:API_LIST_TAG,0,1.0001110185956148,1.0001110185956148,x1.0
1366,assay:API_LIST_XYL,0,1.0011112963271656,1.0011112963271656,x1.0
1367,assay:API_LIST_alpha MAN,0,1.0004997778764995,1.0004997778764995,x1.0
1368,assay:API_LIST_beta HEM,0,1.0001665371377817,1.0001665371377817,x1.0
1369,assay:API_NH_FRU,0,1.0057496929775596,1.0057496929775596,x1.0
1370,assay:API_NH_GGT,0,1.0033648593808293,1.0033648593808293,x1.0
1371,assay:API_NH_GLU,0,1.0068738124511007,1.0068738124511007,x1.0
1372,assay:API_NH_IND,0,1.0007220617640524,1.0007220617640524,x1.0
1373,assay:API_NH_LIP,0,1.0016896996178248,1.0016896996178248,x1.0
1374,assay:API_NH_MAL,0,1.0041241709858997,1.0041241709858997,x1.0
1375,assay:API_NH_ODC,0,1.0002424124719476,1.0002424124719476,x1.0
1376,assay:API_NH_PAL,0,1.0043166059832997,1.0043166059832997,x1.0
1377,assay:API_NH_PEN,0,1.0004091936656678,1.0004091936656678,x1.0
1378,assay:API_NH_ProA,0,1.002280818869604,1.002280818869604,x1.0
1379,assay:API_NH_SAC,0,1.0050764253040276,1.0050764253040276,x1.0
1380,assay:API_NH_URE,0,1.0004647997572507,1.0004647997572507,x1.0
1381,assay:API_NH_beta GAL,0,1.0026154702281582,1.0026154702281582,x1.0
1382,assay:API_coryne_CAT,0,1.0098614915964967,1.0098614915964967,x1.0
1383,assay:API_coryne_CAT,1,0.35664643978002364,0.35664643978002364,/2.8
1384,assay:API_coryne_ESC,0,1.0199581130079405,1.0199581130079405,x1.0
1385,assay:API_coryne_ESC,1,0.4063312835470825,0.4063312835470825,/2.5
1386,assay:API_coryne_GEL,0,1.0070311103965635,1.0070311103965635,x1.0
1387,assay:API_coryne_GEL,1,0.6655768893321881,0.6655768893321881,/1.5
1388,assay:API_coryne_GLU,0,1.0115701774042298,1.0115701774042298,x1.0
1389,assay:API_coryne_GLU,1,0.43730051819759463,0.43730051819759463,/2.3
1390,assay:API_coryne_GLYG,0,1.0031762408507336,1.0031762408507336,x1.0
1391,assay:API_coryne_LAC,0,1.0107458564933005,1.0107458564933005,x1.0
1392,assay:API_coryne_MAL,0,1.0143200412282694,1.0143200412282694,x1.0
1393,assay:API_coryne_MAL,1,0.2771652332004755,0.2771652332004755,/3.6
